E,21/09/16,19:30:00,(C),Atlético Mineiro,2-2,Copa do Brasil 2016,08/01/21
E,18/09/16,16:00:00,(F),Chapecoense,2-2,Brasileirão 2016,R26
V,14/09/16,21:00:00,(C),Grêmio,3-0,Brasileirão 2016,R25
E,11/09/16,18:30:00,(C),América Mineiro,1-1,Brasileirão 2016,R24
D,07/09/16,21:45:00,(F),Flamengo,2-1,Brasileirão 2016,R23
V,27/08/16,16:00:00,(C),Corinthians,2-0,Brasileirão 2016,R22
E,24/08/16,21:45:00,(F),Atlético Mineiro,1-1,Copa do Brasil 2016,08/01/21
E,21/08/16,16:00:00,(F),Palmeiras,2-2,Brasileirão 2016,R21
V,13/08/16,18:30:00,(C),Figueirense,2-0,Brasileirão 2016,R20
D,07/08/16,16:00:00,(F),Coritiba,3-1,Brasileirão 2016,R19
V,04/08/16,19:15:00,(C),Botafogo,2-0,Brasileirão 2016,R18
D,31/07/16,11:00:00,(F),Fluminense,3-0,Brasileirão 2016,R17
V,27/07/16,19:30:00,(C),Figueirense,5-0,Copa do Brasil 2016,3F
E,24/07/16,11:00:00,(C),Internacional,2-2,Brasileirão 2016,R16
D,16/07/16,18:30:00,(F),Santos,3-1,Brasileirão 2016,R15
E,13/07/16,19:30:00,(F),Figueirense,0-0,Copa do Brasil 2016,3F
V,09/07/16,21:00:00,(C),Sport,2-1,Brasileirão 2016,R14
V,03/07/16,16:00:00,(C),São Paulo,1-0,Brasileirão 2016,R13
V,30/06/16,19:30:00,(F),Santa Cruz,0-3,Brasileirão 2016,R12
E,26/06/16,16:00:00,(F),Vitória,1-1,Brasileirão 2016,R11
D,22/06/16,19:30:00,(C),Cruzeiro,0-4,Brasileirão 2016,R10
D,19/06/16,11:00:00,(F),Atlético Mineiro,3-0,Brasileirão 2016,R9
V,15/06/16,19:30:00,(C),Atlético Paranaense,3-2,Brasileirão 2016,R8
V,11/06/16,16:00:00,(C),Chapecoense,2-1,Brasileirão 2016,R7
D,05/06/16,16:00:00,(F),Grêmio,1-0,Brasileirão 2016,R6
V,02/06/16,19:30:00,(F),América Mineiro,1-2,Brasileirão 2016,R5
D,29/05/16,11:00:00,(C),Flamengo,1-2,Brasileirão 2016,R4
D,26/05/16,11:00:00,(F),Corinthians,3-0,Brasileirão 2016,R3
V,21/05/16,16:00:00,(C),Palmeiras,2-1,Brasileirão 2016,R2
E,15/05/16,16:00:00,(F),Figueirense,0-0,Brasileirão 2016,R1
V,12/05/16,21:30:00,(C),Genus,3-0,Copa do Brasil 2016,2F
V,05/05/16,21:30:00,(F),Genus,0-1,Copa do Brasil 2016,2F
E,14/04/16,21:30:00,(C),Caldense,1-1,Copa do Brasil 2016,1F
V,10/04/16,16:00:00,(F),Rio Claro,0-1,Paulista 2016,Grp.D
V,07/04/16,21:30:00,(F),Caldense,1-2,Copa do Brasil 2016,1F
V,02/04/16,16:00:00,(C),EC Água Santa,7-2,Paulista 2016,Grp.D
D,30/03/16,21:45:00,(F),Corinthians,2-1,Paulista 2016,Grp.D
V,27/03/16,18:30:00,(F),Red Bull Brasil,0-3,Paulista 2016,Grp.D
D,23/03/16,19:30:00,(C),Mogi Mirim,0-1,Paulista 2016,Grp.D
E,19/03/16,18:30:00,(F),Capivariano,0-0,Paulista 2016,Grp.C
V,12/03/16,18:30:00,(C),Ferroviária,2-1,Paulista 2016,Grp.C
D,05/03/16,18:30:00,(C),XV de Piracicaba,0-1,Paulista 2016,Grp.C
V,27/02/16,19:30:00,(C),São Paulo,1-0,Paulista 2016,Grp.C
V,24/02/16,21:45:00,(F),Osasco Audax,1-3,Paulista 2016,Grp.C
E,20/02/16,19:30:00,(C),São Bento,0-0,Paulista 2016,Grp.B
E,14/02/16,19:30:00,(C),Botafogo-SP,1-1,Paulista 2016,Grp.B
E,10/02/16,19:30:00,(F),Linense,2-2,Paulista 2016,Grp.B
D,03/02/16,21:45:00,(C),Santos,0-2,Paulista 2016,Grp.B
D,30/01/16,19:30:00,(F),Oeste,3-1,Paulista 2016,Grp.B
D,06/12/15,17:00:00,(C),Sport,0-1,Brasileirão 2015,R38
D,28/11/15,21:00:00,(F),Avaí,1-0,Brasileirão 2015,R37
E,22/11/15,18:00:00,(F),Flamengo,1-1,Brasileirão 2015,R36
D,18/11/15,21:00:00,(C),Figueirense,0-1,Brasileirão 2015,R35
D,07/11/15,17:00:00,(F),Internacional,1-0,Brasileirão 2015,R34
V,31/10/15,19:30:00,(C),Joinville,1-0,Brasileirão 2015,R33
D,25/10/15,19:30:00,(F),Atlético Mineiro,2-1,Brasileirão 2015,R32
V,18/10/15,11:00:00,(C),Coritiba,3-0,Brasileirão 2015,R31
V,14/10/15,21:00:00,(F),Palmeiras,0-1,Brasileirão 2015,R30
E,04/10/15,16:00:00,(C),Corinthians,2-2,Brasileirão 2015,R29
V,27/09/15,11:00:00,(F),Atlético Paranaense,1-2,Brasileirão 2015,R28
V,19/09/15,21:00:00,(C),Fluminense,3-1,Brasileirão 2015,R27
V,16/09/15,19:30:00,(F),Goiás,1-2,Brasileirão 2015,R26
V,13/09/15,11:00:00,(C),Santos,3-1,Brasileirão 2015,R25
D,09/09/15,19:30:00,(C),Vasco,0-1,Brasileirão 2015,R24
E,06/09/15,11:00:00,(F),Chapecoense,0-0,Brasileirão 2015,R23
D,02/09/15,19:30:00,(C),Cruzeiro,1-2,Brasileirão 2015,R22
D,29/08/15,21:00:00,(F),São Paulo,3-0,Brasileirão 2015,R21
D,26/08/15,22:00:00,(F),Chapecoense,3-0,Copa Sul-Americana 2015,2F
E,23/08/15,11:00:00,(C),Grêmio,0-0,Brasileirão 2015,R20
E,19/08/15,22:00:00,(C),Chapecoense,1-1,Copa Sul-Americana 2015,2F
E,16/08/15,16:00:00,(F),Sport,1-1,Brasileirão 2015,R19
V,13/08/15,19:30:00,(C),Avaí,2-0,Brasileirão 2015,R18
V,09/08/15,16:00:00,(C),Flamengo,1-0,Brasileirão 2015,R17
D,02/08/15,16:00:00,(F),Figueirense,3-1,Brasileirão 2015,R16
E,26/07/15,16:00:00,(C),Internacional,0-0,Brasileirão 2015,R15
V,22/07/15,22:00:00,(C),Coritiba,2-1,Copa do Brasil 2015,3F
E,19/07/15,18:30:00,(F),Joinville,1-1,Brasileirão 2015,R14
D,11/07/15,21:00:00,(C),Atlético Mineiro,0-2,Brasileirão 2015,R13
E,08/07/15,19:30:00,(F),Coritiba,0-0,Brasileirão 2015,R12
D,05/07/15,18:30:00,(C),Palmeiras,0-2,Brasileirão 2015,R11
D,02/07/15,19:30:00,(F),Corinthians,2-0,Brasileirão 2015,R10
V,28/06/15,16:00:00,(C),Atlético Paranaense,2-1,Brasileirão 2015,R9
D,24/06/15,19:30:00,(F),Fluminense,2-0,Brasileirão 2015,R8
E,14/06/15,11:00:00,(C),Goiás,0-0,Brasileirão 2015,R7
E,06/06/15,18:30:00,(F),Santos,2-2,Brasileirão 2015,R6
V,03/06/15,19:30:00,(F),Vasco,0-3,Brasileirão 2015,R5
V,30/05/15,18:30:00,(C),Chapecoense,3-1,Brasileirão 2015,R4
D,27/05/15,19:30:00,(F),Coritiba,2-1,Copa do Brasil 2015,3F
E,24/05/15,18:30:00,(F),Cruzeiro,1-1,Brasileirão 2015,R3
V,17/05/15,18:30:00,(C),São Paulo,1-0,Brasileirão 2015,R2
V,13/05/15,19:30:00,(C),Moto Club,4-1,Copa do Brasil 2015,2F
E,10/05/15,11:00:00,(F),Grêmio,3-3,Brasileirão 2015,R1
V,07/05/15,19:30:00,(F),Moto Club,1-2,Copa do Brasil 2015,2F
D,11/04/15,16:20:00,(F),Corinthians,1-0,Paulista 2015,QF
D,08/04/15,22:00:00,(F),Capivariano,3-0,Paulista 2015,Grp.A
V,05/04/15,18:30:00,(C),Penapolense,2-1,Paulista 2015,Grp.A
V,02/04/15,19:30:00,(C),Vilhena,3-0,Copa do Brasil 2015,1F
D,29/03/15,18:30:00,(F),XV de Piracicaba,1-0,Paulista 2015,Grp.A
V,26/03/15,21:00:00,(C),Santos,3-1,Paulista 2015,Grp.A
V,21/03/15,18:30:00,(F),Bragantino,0-1,Paulista 2015,Grp.A
D,15/03/15,16:00:00,(C),São Paulo,1-2,Paulista 2015,Grp.A
V,12/03/15,21:00:00,(C),Ituano,1-0,Paulista 2015,Grp.A
E,07/03/15,18:30:00,(F),Mogi Mirim,2-2,Paulista 2015,Grp.A
E,03/03/15,21:30:00,(F),Vilhena,1-1,Copa do Brasil 2015,1F
V,28/02/15,21:00:00,(C),Red Bull Brasil,2-1,Paulista 2015,Grp.A
V,22/02/15,18:30:00,(C),São Bernardo,2-0,Paulista 2015,Grp.A
E,18/02/15,19:30:00,(F),Linense,2-2,Paulista 2015,Grp.A
V,12/02/15,21:00:00,(C),Marília,2-0,Paulista 2015,Grp.A
E,08/02/15,19:30:00,(F),Botafogo-SP,1-1,Paulista 2015,Grp.A
V,05/02/15,19:30:00,(F),Palmeiras,0-1,Paulista 2015,Grp.A
D,01/02/15,19:30:00,(C),Portuguesa,2-3,Paulista 2015,Grp.A
